FSA,Loss Dates,Number of Exposure_at_claim,$ Average Exposure_at_claim,Loss Frequency,Total $ Loss,event_start,event_end,climate_days_available,window_coverage_fraction,fwi_mean,fwi_max,fwi_p95,days_fwi_above_30,dc_max,dmc_max,ffmc_max,isi_max,bui_mean,Number of Exposure_current_portfolio,$ Average Exposure_current_portfolio,dominant_fuel_code,dominant_fuel_pct,n_valid_pixels,n_fuel_classes_present
T4L,"July 22 - August 17, 2024",7500,95230.65936545852,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.13162454645081545,0.7767573291322998,0.5247445251638457,0,152.13701055485615,3.430667381872051,76.81151841631039,1.6027339556674132,2.2172275357419933,8900,83051.38007046479,31.0,0.8092969997165321,804324.0,12.0
T4M,"July 22 - August 17, 2024",2900,90873.75234271854,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.13620215036054575,0.8664913213261172,0.5802488079111741,0,135.7006080276516,3.5141960120591578,78.44135543432964,1.7748599433269092,2.1422148763453563,1000,79566.87412241349,31.0,0.5140037172338653,15603.0,10.0
T4N,"July 22 - August 17, 2024",14500,71927.1365242679,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.1380936301197178,0.8848239426917333,0.5852848420410298,0,133.53351073713978,3.6410628486607246,78.66664717610601,1.78514300387377,2.1993302234171597,21500,68324.90458823598,101.0,0.632828202265114,31345.0,11.0
T4P,"July 22 - August 17, 2024",14900,86335.905148481,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.13376525004798415,0.8288176016780872,0.5646317897787467,0,141.13613637411504,3.4963070201001223,77.87634885878732,1.6992560879253251,2.163982767720363,13700,72577.69926735172,101.0,0.4584204110066179,45936.0,11.0
T4R,"July 22 - August 17, 2024",16900,99162.64588844616,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.13875481640608578,0.8850956046706843,0.5824722058511411,0,134.27490292023458,3.759865533957756,78.62623334201825,1.7589909072537018,2.266626438395803,16700,84474.79231996647,101.0,0.7932208004356112,22038.0,9.0
T4S,"July 22 - August 17, 2024",11000,98518.18264883837,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.1360451531280999,0.8507154018205126,0.5790157487797787,0,135.0127136956778,3.58214457373464,78.18169983597286,1.7276310336264469,2.185638273555812,12700,82496.70594735706,31.0,0.6653323851417816,234833.0,12.0
T4T,"July 22 - August 17, 2024",5200,90430.54607677784,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.197937008036588,0.6731822564098908,0.6317034816507596,0,63.913040870823615,4.241131159709653,77.05735135964082,1.3741127088400802,3.1767268775739836,7500,78137.22549569096,3.0,0.3367614673224807,8003285.0,14.0
T4V,"July 22 - August 17, 2024",11200,89561.60484002688,0.00089,2124.936293099699,2024-07-22,2024-08-17,27,1.0,0.11542981703796223,0.571747595302606,0.4944907068813044,0,188.92391169703447,3.905066807018648,75.2823504067967,1.345503354387288,2.5406098409653253,12600,77835.44543824572,31.0,0.7352939598035796,186335.0,10.0
T4X,"July 22 - August 17, 2024",9900,118623.61759557278,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.1497872580993469,0.8976289976848872,0.6839342891587237,0,192.15489153329165,3.9591672493156382,78.14437486634952,1.641271641853663,2.805740302118917,9200,99621.45918097488,31.0,0.771997596232511,672278.0,12.0
T5A,"July 22 - August 17, 2024",11700,67017.83869608624,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.18087702402697317,1.3871707916259766,0.7707623630762097,0,187.0225830078125,5.340482711791992,80.22045135498047,1.9861903190612795,3.6805664378183858,13200,61476.17118076872,101.0,0.9188717447462124,14323.0,10.0
T5B,"July 22 - August 17, 2024",6000,68546.02448076048,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.18087702402697317,1.3871707916259766,0.7707623630762097,0,187.0225830078125,5.340482711791992,80.22045135498047,1.9861903190612795,3.6805664378183858,6200,65735.03146467003,101.0,0.9153490634882024,8222.0,10.0
T5C,"July 22 - August 17, 2024",5500,77200.87958278139,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.18087702402697317,1.3871707916259766,0.7707623630762097,0,187.0225830078125,5.340482711791992,80.22045135498047,1.9861903190612795,3.6805664378183858,6000,71676.41685711774,101.0,1.0,6258.0,1.0
T5E,"July 22 - August 17, 2024",12000,76930.63222303872,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.21413105178500372,1.6467105236145427,0.9794261464777954,0,186.59702519882032,5.360627175089916,80.52510207875251,2.0555989610792618,4.000553332500675,12300,69857.35950374111,101.0,0.998979666205087,13721.0,3.0
T5G,"July 22 - August 17, 2024",4800,66541.2686652239,0.00211,7786.570317074086,2024-07-22,2024-08-17,27,1.0,0.23218476208127384,1.787615413866871,1.0927103333518544,0,186.3659886021781,5.371563663959802,80.69049786023648,2.093281118686398,4.1742751666566,4900,64534.74038227577,101.0,0.9836099160008196,9762.0,7.0
T5H,"July 22 - August 17, 2024",10600,40200.89891612369,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.21225308182790337,1.6320534173266978,0.9676421809619656,0,186.6210579200928,5.359489547577523,80.50789739874153,2.0516792150135714,3.9824825658780045,8800,45440.98502049295,101.0,0.913408888322934,7853.0,10.0
T5J,"July 22 - August 17, 2024",4900,34442.14176549909,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.20145421664374272,1.5477708577501097,0.8998810038147413,0,186.7592529514079,5.352947863516139,80.40896556052303,2.029139552353103,3.878570481558,26000,56562.57488253161,101.0,0.9663366336633664,1515.0,4.0
T5K,"July 22 - August 17, 2024",14700,37460.619408587176,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.24064128119825764,1.8536165226994128,1.14577365807743,0,186.25776899722345,5.376686413006016,80.76797072121822,2.1109317777999306,4.255648025059041,14600,35079.15304133789,101.0,0.8369921776431996,3963.0,10.0
T5L,"July 22 - August 17, 2024",6300,73770.48009403472,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.2634941444160227,2.031977653503418,1.289171773195266,0,185.9653167724609,5.62434196472168,80.97733306884766,2.158630847930908,4.475549710017663,7000,67853.88729653365,101.0,0.9973568281938326,11350.0,5.0
T5M,"July 22 - August 17, 2024",6700,69997.77392598086,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.2634941444160227,2.031977653503418,1.289171773195266,0,185.9653167724609,5.62434196472168,80.97733306884766,2.158630847930908,4.475549710017663,6900,62009.33013115402,101.0,0.999094271265756,13249.0,5.0
T5N,"July 22 - August 17, 2024",8000,89679.56997445614,0.00997,26407.102054633,2024-07-22,2024-08-17,27,1.0,0.2634941444160227,2.031977653503418,1.289171773195266,0,185.9653167724609,5.62434196472168,80.97733306884766,2.158630847930908,4.475549710017663,7900,79538.87630934632,101.0,0.8459036144578314,8300.0,9.0
T5P,"July 22 - August 17, 2024",7900,64341.35273414772,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.2634941444160227,2.031977653503418,1.289171773195266,0,185.9653167724609,5.62434196472168,80.97733306884766,2.158630847930908,4.475549710017663,7900,60080.06273455239,101.0,0.999737773698702,7627.0,3.0
T5R,"July 22 - August 17, 2024",10200,98148.25758829138,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.2634941444160227,2.031977653503418,1.289171773195266,0,185.9653167724609,5.62434196472168,80.97733306884766,2.158630847930908,4.475549710017663,11500,82617.03384574137,101.0,0.8269801084990959,13825.0,10.0
T5S,"July 22 - August 17, 2024",3800,104511.48301511531,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.2634941444160227,2.031977653503418,1.289171773195266,0,185.9653167724609,5.62434196472168,80.97733306884766,2.158630847930908,4.475549710017663,2600,73792.69448377409,101.0,0.7023110409910305,34227.0,11.0
T5T,"July 22 - August 17, 2024",29600,86340.61392100602,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.2581618937802509,2.0084747875605875,1.2494683928275427,0,186.80407125050243,5.563408962816115,80.94912506996444,2.155068600385937,4.37181657435596,29500,74741.29955933786,101.0,0.8466908113791694,34238.0,11.0
T5V,"July 22 - August 17, 2024",100,90998.98724461973,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.2634941444160227,2.031977653503418,1.289171773195266,0,185.9653167724609,5.62434196472168,80.97733306884766,2.158630847930908,4.475549710017663,100,80031.9435289854,101.0,0.7881339433466368,20546.0,10.0
T5W,"July 22 - August 17, 2024",7400,80807.14664976683,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.18087702402697317,1.3871707916259766,0.7707623630762097,0,187.0225830078125,5.340482711791992,80.22045135498047,1.9861903190612795,3.6805664378183858,8000,73408.2096384527,101.0,0.8751281849017907,12677.0,9.0
T5X,"July 22 - August 17, 2024",14100,90210.81852805852,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.25096906413069225,1.9342223979883957,1.210578868336861,0,186.1256024907042,5.444294367687828,80.8625868251146,2.132488185751857,4.355027120233593,15400,79719.91572973174,101.0,0.8578842065774666,15994.0,8.0
T5Y,"July 22 - August 17, 2024",19700,89129.65582123767,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.18087702402697317,1.3871707916259766,0.7707623630762097,0,187.0225830078125,5.340482711791992,80.22045135498047,1.9861903190612795,3.6805664378183858,19400,75689.82041218002,31.0,0.5825495923476921,124616.0,11.0
