FSA,Loss Dates,Number of Exposure,$ Average Exposure,Loss Frequency,Total $ Loss
T2H,"July 22 - August 17, 2024",4300,65537.34384775229,0,0
T2J,"July 22 - August 17, 2024",18800,112670.77950775894,0,0
T2K,"July 22 - August 17, 2024",15100,85618.91637655269,0,0
T2L,"July 22 - August 17, 2024",7400,91469.97215584973,0,0
T2M,"July 22 - August 17, 2024",10400,102488.77315498599,0,0
T2N,"July 22 - August 17, 2024",14100,101296.29029020878,0,0
T2P,"July 22 - August 17, 2024",8800,44162.35557726704,0,0
T2R,"July 22 - August 17, 2024",11300,33413.98229369779,0,0
T2S,"July 22 - August 17, 2024",9200,107871.17635109689,0.00108,18789.33258113763
T2T,"July 22 - August 17, 2024",17100,104675.83583853247,0,0
T2V,"July 22 - August 17, 2024",15700,98755.51271952005,0,0
T2W,"July 22 - August 17, 2024",17600,105937.4799369038,0,0
T2X,"July 22 - August 17, 2024",27700,107592.57171781287,0,0
T2Y,"July 22 - August 17, 2024",24600,105793.54110679602,0,0
T2Z,"July 22 - August 17, 2024",28800,109270.50172404124,0,0
T3A,"July 22 - August 17, 2024",22000,120568.2291806166,0,0
T3B,"July 22 - August 17, 2024",18600,103605.18165150835,0,0
T3C,"July 22 - August 17, 2024",11700,74340.09471700873,0,0
T3E,"July 22 - August 17, 2024",20200,90227.11049247738,0.00049,6902.650937198652
T3G,"July 22 - August 17, 2024",23600,115110.2394882328,0,0
T3H,"July 22 - August 17, 2024",32900,141097.31063586823,0,0
T3J,"July 22 - August 17, 2024",25000,95728.68924783857,0,0
T3K,"July 22 - August 17, 2024",31100,102706.38864594084,0,0
T3L,"July 22 - August 17, 2024",13000,140711.1343093581,0,0
T3M,"July 22 - August 17, 2024",29000,105452.96304485234,0,0
T3N,"July 22 - August 17, 2024",16500,90274.46451254265,0,0
T3P,"July 22 - August 17, 2024",15600,109038.5548002034,0,0
T3R,"July 22 - August 17, 2024",15700,113921.18588198406,0,0
T3S,"July 22 - August 17, 2024",1100,101879.32156475818,0,0
T3T,"July 22 - August 17, 2024",100,89691.80076014022,0,0
T3Z,"July 22 - August 17, 2024",5700,219848.38944805687,0,0
T4A,"July 22 - August 17, 2024",8200,99957.18183042284,0,0
T4B,"July 22 - August 17, 2024",25000,98657.15125711275,0.0004,15321.46459700813
T4C,"July 22 - August 17, 2024",17700,115301.3379234548,0.00169,8664.784867561357
T4E,"July 22 - August 17, 2024",2500,123462.77842053934,0,0
T4G,"July 22 - August 17, 2024",5800,84662.85172750252,0,0
T4H,"July 22 - August 17, 2024",5500,90616.98341921577,0,0
T4J,"July 22 - August 17, 2024",4600,97191.21157587251,0,0
T4L,"July 22 - August 17, 2024",7500,95230.65936545852,0,0
T4M,"July 22 - August 17, 2024",2900,90873.75234271854,0,0
T4N,"July 22 - August 17, 2024",14500,71927.1365242679,0,0
T4P,"July 22 - August 17, 2024",14900,86335.905148481,0,0
T4R,"July 22 - August 17, 2024",16900,99162.64588844616,0,0
T4S,"July 22 - August 17, 2024",11000,98518.18264883837,0,0
T4T,"July 22 - August 17, 2024",5200,90430.54607677784,0,0
T4V,"July 22 - August 17, 2024",11200,89561.60484002688,0.00089,2124.936293099699
T4X,"July 22 - August 17, 2024",9900,118623.61759557278,0,0
T5A,"July 22 - August 17, 2024",11700,67017.83869608624,0,0
T5B,"July 22 - August 17, 2024",6000,68546.02448076048,0,0
T5C,"July 22 - August 17, 2024",5500,77200.87958278139,0,0
T5E,"July 22 - August 17, 2024",12000,76930.63222303872,0,0
T5G,"July 22 - August 17, 2024",4800,66541.2686652239,0.00211,7786.570317074086
T5H,"July 22 - August 17, 2024",10600,40200.89891612369,0,0
T5J,"July 22 - August 17, 2024",4900,34442.14176549909,0,0
T5K,"July 22 - August 17, 2024",14700,37460.619408587176,0,0
T5L,"July 22 - August 17, 2024",6300,73770.48009403472,0,0
T5M,"July 22 - August 17, 2024",6700,69997.77392598086,0,0
T5N,"July 22 - August 17, 2024",8000,89679.56997445614,0.00997,26407.102054633
T5P,"July 22 - August 17, 2024",7900,64341.35273414772,0,0
T5R,"July 22 - August 17, 2024",10200,98148.25758829138,0,0
T5S,"July 22 - August 17, 2024",3800,104511.48301511533,0,0
T5T,"July 22 - August 17, 2024",29600,86340.61392100602,0,0
T5V,"July 22 - August 17, 2024",100,90998.98724461971,0,0
T5W,"July 22 - August 17, 2024",7400,80807.14664976683,0,0
T5X,"July 22 - August 17, 2024",14100,90210.81852805852,0,0
T5Y,"July 22 - August 17, 2024",19700,89129.65582123767,0,0
T5Z,"July 22 - August 17, 2024",12300,100730.74951913979,0.00081,3222.256737676516
T6A,"July 22 - August 17, 2024",6100,89984.46524475148,0,0
T6B,"July 22 - August 17, 2024",4100,86220.50128595877,0,0
T6C,"July 22 - August 17, 2024",10000,81038.858582711,0,0
T6E,"July 22 - August 17, 2024",11800,60592.28962330856,0.00084,71333.01911038195
T6G,"July 22 - August 17, 2024",6500,81207.66821178207,0,0
T6H,"July 22 - August 17, 2024",12000,88398.7955572678,0,0
T6J,"July 22 - August 17, 2024",18400,93220.01107419806,0.00054,3068.658380021176
T6K,"July 22 - August 17, 2024",8900,79342.49365099866,0,0
T6L,"July 22 - August 17, 2024",16500,85972.11978825115,0,0
T6M,"July 22 - August 17, 2024",15400,119213.97867509541,0,0
T6P,"July 22 - August 17, 2024",600,48640.872948787015,0,0
T6R,"July 22 - August 17, 2024",19100,122541.92796269196,0,0
T6T,"July 22 - August 17, 2024",17000,94224.62941564088,0.00176,23755.436651271244
T6V,"July 22 - August 17, 2024",7200,96380.67564755345,0,0
T6W,"July 22 - August 17, 2024",41300,100181.05227778581,0,0
T6X,"July 22 - August 17, 2024",20600,96228.8152829094,0,0
T6Y,"July 22 - August 17, 2024",100,100590.68831788495,0,0
T7A,"July 22 - August 17, 2024",5100,98551.51859790969,0,0
T7E,"July 22 - August 17, 2024",6500,87958.52077306404,0,0
T7N,"July 22 - August 17, 2024",3700,81630.1376441537,0,0
T7P,"July 22 - August 17, 2024",3200,79486.02073892108,0,0
T7S,"July 22 - August 17, 2024",5000,90934.81486222075,0,0
T7V,"July 22 - August 17, 2024",5000,90491.90878472743,0.00602,2862.9601147462035
T7X,"July 22 - August 17, 2024",19800,96664.37489729736,0.0005,737.7549751506659
T7Y,"July 22 - August 17, 2024",7600,126294.42049274317,0,0
T7Z,"July 22 - August 17, 2024",9000,88170.37364863833,0,0
T8A,"July 22 - August 17, 2024",15800,110938.0731331371,0,0
T8B,"July 22 - August 17, 2024",3300,173741.46727499863,0,0
T8C,"July 22 - August 17, 2024",1600,148692.3866362297,0,0
T8E,"July 22 - August 17, 2024",3200,130005.85310068345,0,0
T8G,"July 22 - August 17, 2024",2000,115737.60118639577,0,0
T8H,"July 22 - August 17, 2024",13000,91795.42679693033,0,0
T8L,"July 22 - August 17, 2024",12600,95627.73148410629,0,0
T8N,"July 22 - August 17, 2024",28200,106096.02420902578,0.00106,4159.696501791904
T8R,"July 22 - August 17, 2024",5900,93579.30969956504,0,0
T8S,"July 22 - August 17, 2024",3600,84880.00332888124,0,0
T8T,"July 22 - August 17, 2024",3000,169858.75682009725,0,0
T8V,"July 22 - August 17, 2024",16100,71701.14931244898,0,0
T8W,"July 22 - August 17, 2024",10100,110069.88282856377,0,0
T8X,"July 22 - August 17, 2024",11100,97812.46022166543,0,0
T9A,"July 22 - August 17, 2024",6600,86837.84395867241,0,0
T9C,"July 22 - August 17, 2024",3400,91938.61915714272,0,0
T9E,"July 22 - August 17, 2024",14700,88900.67751104115,0,0
T9G,"July 22 - August 17, 2024",2700,96577.1092802203,0,0
T9H,"July 22 - August 17, 2024",11900,77259.06267794753,0,0
T9J,"July 22 - August 17, 2024",1900,80626.48507399707,0,0
T9K,"July 22 - August 17, 2024",17800,96723.79984962918,0,0
T9M,"July 22 - August 17, 2024",8500,87251.96106171633,0,0
T9N,"July 22 - August 17, 2024",6300,98380.80197617969,0,0
T9S,"July 22 - August 17, 2024",3800,90355.83633817824,0,0
T9V,"July 22 - August 17, 2024",10600,98674.47753716797,0,0
T9W,"July 22 - August 17, 2024",4500,94931.83241561537,0,0
T9X,"July 22 - August 17, 2024",3000,97260.7017220186,0,0
